# Sample terrain data for FreePVC testing
# Format: X (m), Y (m), Z (m)
# 50m x 50m site with 5-degree slope and some variation
X,Y,Z
0.0,0.0,100.0
5.0,0.0,100.1
10.0,0.0,100.3
15.0,0.0,100.2
20.0,0.0,100.5
25.0,0.0,100.4
30.0,0.0,100.7
35.0,0.0,100.6
40.0,0.0,100.9
45.0,0.0,100.8
50.0,0.0,101.0
0.0,5.0,100.4
5.0,5.0,100.5
10.0,5.0,100.7
15.0,5.0,100.6
20.0,5.0,100.9
25.0,5.0,100.8
30.0,5.0,101.1
35.0,5.0,101.0
40.0,5.0,101.3
45.0,5.0,101.2
50.0,5.0,101.4
0.0,10.0,100.9
5.0,10.0,101.0
10.0,10.0,101.2
15.0,10.0,101.1
20.0,10.0,101.4
25.0,10.0,101.3
30.0,10.0,101.6
35.0,10.0,101.5
40.0,10.0,101.8
45.0,10.0,101.7
50.0,10.0,101.9
0.0,15.0,101.3
5.0,15.0,101.4
10.0,15.0,101.6
15.0,15.0,101.5
20.0,15.0,101.8
25.0,15.0,101.7
30.0,15.0,102.0
35.0,15.0,101.9
40.0,15.0,102.2
45.0,15.0,102.1
50.0,15.0,102.3
0.0,20.0,101.7
5.0,20.0,101.8
10.0,20.0,102.0
15.0,20.0,101.9
20.0,20.0,102.2
25.0,20.0,102.1
30.0,20.0,102.4
35.0,20.0,102.3
40.0,20.0,102.6
45.0,20.0,102.5
50.0,20.0,102.7
0.0,25.0,102.2
5.0,25.0,102.3
10.0,25.0,102.5
15.0,25.0,102.4
20.0,25.0,102.7
25.0,25.0,102.6
30.0,25.0,102.9
35.0,25.0,102.8
40.0,25.0,103.1
45.0,25.0,103.0
50.0,25.0,103.2
0.0,30.0,102.6
5.0,30.0,102.7
10.0,30.0,102.9
15.0,30.0,102.8
20.0,30.0,103.1
25.0,30.0,103.0
30.0,30.0,103.3
35.0,30.0,103.2
40.0,30.0,103.5
45.0,30.0,103.4
50.0,30.0,103.6
0.0,35.0,103.1
5.0,35.0,103.2
10.0,35.0,103.4
15.0,35.0,103.3
20.0,35.0,103.6
25.0,35.0,103.5
30.0,35.0,103.8
35.0,35.0,103.7
40.0,35.0,104.0
45.0,35.0,103.9
50.0,35.0,104.1
0.0,40.0,103.5
5.0,40.0,103.6
10.0,40.0,103.8
15.0,40.0,103.7
20.0,40.0,104.0
25.0,40.0,103.9
30.0,40.0,104.2
35.0,40.0,104.1
40.0,40.0,104.4
45.0,40.0,104.3
50.0,40.0,104.5
0.0,45.0,103.9
5.0,45.0,104.0
10.0,45.0,104.2
15.0,45.0,104.1
20.0,45.0,104.4
25.0,45.0,104.3
30.0,45.0,104.6
35.0,45.0,104.5
40.0,45.0,104.8
45.0,45.0,104.7
50.0,45.0,104.9
0.0,50.0,104.4
5.0,50.0,104.5
10.0,50.0,104.7
15.0,50.0,104.6
20.0,50.0,104.9
25.0,50.0,104.8
30.0,50.0,105.1
35.0,50.0,105.0
40.0,50.0,105.3
45.0,50.0,105.2
50.0,50.0,105.4
